Indicator.,CountryCode,Country,Representativeness.,Representativeness name,Area covered,Date,Begin month,Begin year,End month,End year,Population,Gender,Age unit,Age from,Age to,Sample size,Indicator unit,Mean,Geo mean,Median,SD,SE,L95CI,U95CI,Deficiency cut-off,Deficiency prevalence,Insufficiency cut-off,Insufficiency prevalence,Sample collection method,Sample type,Fasting,Method of analysis,General data comments,Indicator comments,Survey methodology,Season,Old Reference no# 1,Reference no# 1,Reference 1,Link to reference 1,Old Reference no# 2,Reference no# 2,Reference 2,Link to reference 2,Old Reference no# 3,Reference no# 3,Reference 3,Link to reference 3,SurveyId,Survey status
25-Hydroxyvitamin D,IND,India,1st administration level,Jammu & Kashmir,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,285,,,,,,,,,<30 nmol/L,52.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Jammu & Kashmir,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,241,,,,,,,,,<30 nmol/L,22.9,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Jammu & Kashmir,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,309,,,,,,,,,<30 nmol/L,36,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Jharkhand,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,476,,,,,,,,,<30 nmol/L,29.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Jharkhand,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,630,,,,,,,,,<30 nmol/L,19.2,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Jharkhand,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,560,,,,,,,,,<30 nmol/L,20,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Karnataka,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,341,,,,,,,,,<30 nmol/L,15.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Karnataka,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,372,,,,,,,,,<30 nmol/L,4.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Karnataka,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,365,,,,,,,,,<30 nmol/L,8.5,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Kerala,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,269,,,,,,,,,<30 nmol/L,31.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Kerala,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,292,,,,,,,,,<30 nmol/L,11.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Kerala,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,295,,,,,,,,,<30 nmol/L,22.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Madhya Pradesh,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,413,,,,,,,,,<30 nmol/L,23,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Madhya Pradesh,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,146,,,,,,,,,<30 nmol/L,7.7,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Madhya Pradesh,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,392,,,,,,,,,<30 nmol/L,19.7,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Maharashtra,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,631,,,,,,,,,<30 nmol/L,22.1,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Maharashtra,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,475,,,,,,,,,<30 nmol/L,12.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Maharashtra,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,616,,,,,,,,,<30 nmol/L,17.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Manipur,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,543,,,,,,,,,<30 nmol/L,59.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Manipur,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,613,,,,,,,,,<30 nmol/L,41.2,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Manipur,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,553,,,,,,,,,<30 nmol/L,55.5,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Meghalaya,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,294,,,,,,,,,<30 nmol/L,6.6,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Meghalaya,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,228,,,,,,,,,<30 nmol/L,2.1,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Meghalaya,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,299,,,,,,,,,<30 nmol/L,5.8,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Mizoram,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,347,,,,,,,,,<30 nmol/L,13.4,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Mizoram,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,240,,,,,,,,,<30 nmol/L,5.5,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Mizoram,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,401,,,,,,,,,<30 nmol/L,9,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Nagaland,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,103,,,,,,,,,<30 nmol/L,7.4,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Nagaland,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,59,,,,,,,,,<30 nmol/L,2.2,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Nagaland,both urban and rural,2018,2,2016,10,2018,School-age children,All,Year,5,9,85,,,,,,,,,<30 nmol/L,4.1,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Orissa,both urban and rural,2018,2,2016,10,2018,Adolescents,All,Year,10,19,616,,,,,,,,,<30 nmol/L,18.4,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
25-Hydroxyvitamin D,IND,India,1st administration level,Orissa,both urban and rural,2018,2,2016,10,2018,Preschool-age children,All,Year,1,4,666,,,,,,,,,<30 nmol/L,6.7,,,Venipuncture,Blood serum,Fasting/first morning sample,Electro-chemiluminescence,Weighted sample size.,Serum 25(OH)D measured by antibody competitive immunoassay using direct chemiluminescence (Siemens Centaur). No mention of adjusting serum 25(OH)D values for smoking. The laboratory implemented internal and external quality assurance.,Nationally representative survey covering 30 states in India. Survey excluded pregnant adolescents. Response rates for the collection of biological specimens was 63–64%.,All seasons,,1307,"Ministry of Health and Family Welfare, Government of India, UNICEF, Population Council. Comprehensive National Nutrition Survey (CNNS) national report. New Delhi: Ministry of Health and Family Welfare; 2019.",https://www.popcouncil.org/uploads/pdfs/2019RH_CNNSreport.pdf,,,,,,,,,11095,verified
